topics,subject,object,label
dijkstra algorithms; dijkstra algorithm,dijkstra algorithms,dijkstra algorithm,2
privacy issue; cbir,privacy issue,cbir,3
distributed parameter system; point cloud,distributed parameter system,point cloud,3
structure learning; bayesian approach,structure learning,bayesian approach,1
pareto fronts; objective space,pareto fronts,objective space,0
variational inference; bayesian approaches,variational inference,bayesian approaches,1
full adder; adder,full adder,adder,1
architecture knowledge reuse; architectural knowledge management,architecture knowledge reuse,architectural knowledge management,1
shared data pattern; architectural styles,shared data pattern,architectural styles,1
software architecture patterns; architectural style,software architecture patterns,architectural style,2
particle swarm optimisation; mutation operator,particle swarm optimisation,mutation operator,0
ka-band; pattern recognition systems,ka-band,pattern recognition systems,3
fuzzy clustering method; fuzzy clustering,fuzzy clustering method,fuzzy clustering,2
information technology; e-commerce systems,information technology,e-commerce systems,0
nearest neighbor; k-nn algorithm,nearest neighbor,k-nn algorithm,2
fuzzy c-means algorithm; fcm clustering,fuzzy c-means algorithm,fcm clustering,1
microcalcifications; embedded linux,microcalcifications,embedded linux,3
software architecture; quality attributes,software architecture,quality attributes,0
nearest neighbor classification; semantic service,nearest neighbor classification,semantic service,3
mcmc method; bayesian,mcmc method,bayesian,1
robots; ad hoc network,robots,ad hoc network,3
support vector machine (svms); cross-validation,support vector machine (svms),cross-validation,0
complex adaptive system; complex adaptive systems,complex adaptive system,complex adaptive systems,2
maximal frequent itemsets; peer-to-peer video streaming,maximal frequent itemsets,peer-to-peer video streaming,3
learning activity; e-learning,learning activity,e-learning,1
inference algorithms; implementation concerns,inference algorithms,implementation concerns,3
web data mining; web-mining,web data mining,web-mining,1
network latencies; networks on chips,network latencies,networks on chips,1
candidate solution; olap queries,candidate solution,olap queries,3
natural language processing systems; computer debugging,natural language processing systems,computer debugging,3
clinical decision support; decision support systems,clinical decision support,decision support systems,1
3d modeling; point clouds,3d modeling,point clouds,0
p2p applications; replication strategies,p2p applications,replication strategies,0
opportunistic routing; wsn,opportunistic routing,wsn,1
composite structures; semantic social network analysis,composite structures,semantic social network analysis,3
xml schema; xml schemas,xml schema,xml schemas,2
distributed hash tables; petri net,distributed hash tables,petri net,3
multiple antennas; saluta,multiple antennas,saluta,3
software-defined radios; sdr,software-defined radios,sdr,0
machine translations; microelectromechanical system,machine translations,microelectromechanical system,3
haptics; haptic,haptics,haptic,2
sensor; wearable computer,sensor,wearable computer,0
control channels; control channel,control channels,control channel,2
architectural language; architecture description languages,architectural language,architecture description languages,2
microservices architecture; architectural styles,microservices architecture,architectural styles,1
electronic commerce; torque ripples,electronic commerce,torque ripples,3
cognitive architectures; cognitive architecture,cognitive architectures,cognitive architecture,2
constant modulus algorithms; constant modulus algorithm (cma),constant modulus algorithms,constant modulus algorithm (cma),2
extensible markup language; extensible stylesheet language (xslt),extensible markup language,extensible stylesheet language (xslt),0
variational approximation; bayesian models,variational approximation,bayesian models,1
particle swarm optimizer; cryptocurrency,particle swarm optimizer,cryptocurrency,3
agile development; retrial queue,agile development,retrial queue,3
graphical user interfaces; replication strategies,graphical user interfaces,replication strategies,3
architectural knowledge modeling; architecture knowledge modeling,architectural knowledge modeling,architecture knowledge modeling,2
meta-heuristic methods; particle swarm optimization algorithms,meta-heuristic methods,particle swarm optimization algorithms,1
knowledge based systems; common-sense knowledge,knowledge based systems,common-sense knowledge,0
binary decision diagram; binary decision diagram (bdd),binary decision diagram,binary decision diagram (bdd),2
information communications technology (ict); information and communication technology (ict),information communications technology (ict),information and communication technology (ict),1
ontology creation; semidefinite relaxation,ontology creation,semidefinite relaxation,3
routing algorithms; computer communication networks,routing algorithms,computer communication networks,1
application mapping; network-on-chips,application mapping,network-on-chips,1
business models; queueing delays,business models,queueing delays,3
deontic; multi-agent system,deontic,multi-agent system,1
brain computer interface (bci); xml files,brain computer interface (bci),xml files,3
energy-aware; bayesian approaches,energy-aware,bayesian approaches,3
archstudio; zero-forcing beam-forming,archstudio,zero-forcing beam-forming,3
